IPC,priorityCountryRegion
E21B49/00 | G01N33/24,CN
G06F17/50 | E21B43/00 | G01V99/00 | G01V1/28,US
G06F17/50,US
B01D45/16 | C10L3/10 | B01D45/14 | B04C5/103 | B04C9/00,CN
B01D45/16 | B01D45/14 | B04C5/103 | B04C9/00,CN
E21B49/08 | G01V99/00,-
C10G45/68 | C07C2/76 | C07C7/11 | B01D3/38,US
E21B49/00,CN
G01N33/24 | E21B49/00,US
E21B43/30 | E21B43/16 | E21B41/00,CN
E21B43/26 | E21B4/04 | B65D6/18 | B65D88/00 | B65D88/32 | B65D90/20 | E21B43/00,WO
E21B43/26 | E21B4/04 | B65D6/18,-
E21B43/30 | E21B43/16 | E21B41/00,CN
E21B43/24 | E21B43/16 | E21B47/06,US
G01N33/24 | E21B49/02,US
E21B43/26 | C10L1/04 | E21B43/267 | C07C29/00 | E21B43/16 | E21B43/34 | C07C1/24 | C07C41/09 | E21B43/40,US
C02F1/00 | G05B19/042,CN
E21B47/06 | G06F17/18 | E21B43/267 | E21B49/00,CN
E21B43/26 | E21B43/14 | E21B47/06,CN
E21B43/26 | E21B43/14,CN
B65B1/04 | B65D25/04 | E21B43/11 | E21B43/38 | E21B7/00 | E21B7/04,WO
B01J19/08 | C01B21/06 | C07C253/24 | C07C209/02 | C07C2/76 | C01C1/04,US
C07C29/00 | E21B43/26 | C10L1/04 | C07C41/09 | C07C1/24 | E21B43/16 | E21B43/34,US
G01N33/24 | G01V9/02 | E21B49/00 | G06Q50/02,-
G01V9/00,US | US
E21B43/27 | E21B49/00,CN
E21B49/08 | B01D19/00 | G01N33/24 | E21B43/34,CN
E21B49/08 | B01D19/00 | E21B43/34 | G01N33/24,CN
G01V9/00,US | US
-,CN
E21B43/26,CN
E21B43/26,CN
G01N1/22 | G01N1/24 | G01N33/22,KR
G01N1/22 | G01N1/24 | G01N33/22,KR
-,CN
G01V99/00 | E21B43/26,CN
C07C2/76 | C07C7/11 | C07C15/04 | C07C15/06 | C07C15/08 | C10G1/00,US
E21B,-
E21B49/00 | E21B49/08 | G01V1/28 | G06Q50/06 | E21B43/14 | G01V11/00,-
E21B43/00 | E21B49/00 | G06Q50/02,-
G01V1/50 | E21B49/00,CN
E21B43/263 | C09K8/80 | C09K8/62 | E21B43/00 | E21B47/06,KR | KR
E21B7/00 | E21B47/06 | C09K8/80 | C09K8/62 | E21B43/267 | E21B43/263 | E21B43/26 | E21B43/00,KR | KR
G01N33/24 | G01N7/16 | E21B49/02 | E21B45/00,CN | CN
G01N33/24 | E21B45/00 | E21B49/02 | G01N7/16,CN | CN
E21B43/02 | E21B43/14 | E21B33/10 | E21B43/08 | E21B43/12 | E21B47/10 | E21B49/08 | E21B43/26 | E21B43/10 | E21B43/38,AU
G01N23/207 | E21B49/08 | G01N33/24,KR
G01N23/207 | E21B49/08 | G01N33/24,KR
E21B43/26 | C01B3/34 | C07C29/151 | C07C29/154 | C09K8/594 | C10L1/02 | E21B43/16 | E21B43/34 | E21B43/00,US
E21B43/00 | E21B43/16 | E21B43/34,US
C07C29/151 | C01B3/34 | C07C29/154 | C09K8/594 | C10G2/00 | C10L1/02 | E21B43/16 | E21B43/26 | E21B43/34,US
E21B49/02 | G01V99/00 | G01N3/08,-
E21B49/02 | E21B43/26 | G01V99/00 | G01N3/08,-
E21B43/16,US
E21B43/247 | E21B43/16 | E21B43/26,CN
G06F19/00 | G06G7/48,-
E21B43/08 | E21B49/08 | E21B43/26 | E21B43/10,AU
G01N1/22 | G01N1/24 | G01N33/22,KR
G01N1/22 | G01N1/24 | G01N33/22,KR
E21B43/08 | E21B43/10 | E21B33/12 | E21B43/16 | E21B43/25 | E21B43/38,AU
E21B43/08 | E21B43/10 | E21B33/12 | E21B43/16 | E21B43/25 | E21B43/38,AU
F25J1/00,US
C10L3/00 | F25J1/00 | C10L3/10,US
E21B43/16,CN
