node,degree_centrality,betweenness_centrality,eigenvector_centrality,pagerank,core_number,closeness_centrality
C10B53/06,0.010288065843621401,1.6970005515251794e-05,1.5278961536385666e-56,0.0029808900776670585,3,0.0102880658436214
C10B47/20,0.00617283950617284,0.0,1.0803857311866736e-56,0.0022005376468945256,3,0.007348618459729571
C10G1/02,0.010288065843621401,1.6970005515251794e-05,1.5278961536385666e-56,0.0029808900776670585,3,0.0102880658436214
C10G1/06,0.00617283950617284,0.0,1.0803857311866736e-56,0.0022005376468945256,3,0.007348618459729571
E21B43/26,0.04732510288065844,0.00224626306336883,3.2875383711415473e-24,0.00559228861429498,11,0.06908183228766107
E21B43/14,0.00617283950617284,0.0,2.834473864449781e-25,0.001870728274425853,3,0.04605455485844072
E21B33/127,0.00617283950617284,0.0,2.834473864449781e-25,0.001870728274425853,3,0.04605455485844072
C07C29/12,0.02674897119341564,0.00831530270247338,1.1202190603374793e-06,0.0027089059062261173,9,0.16611207561728397
C07C31/20,0.00823045267489712,0.0,4.587020444498033e-08,0.0011451054705649858,4,0.12593689444627254
C07C303/24,0.00823045267489712,0.0,4.587020444498033e-08,0.0011451054705649858,4,0.12593689444627254
C07C305/10,0.00823045267489712,0.0,4.587020444498033e-08,0.0011451054705649858,4,0.12593689444627254
C07D327/10,0.00823045267489712,0.0,4.587020444498033e-08,0.0011451054705649858,4,0.12593689444627254
E21B34/14,0.00617283950617284,0.0,2.834473864449781e-25,0.0017096206833542875,3,0.04605455485844072
B01J31/16,0.01440329218106996,0.0,1.9424167563062044e-07,0.0014274872315834714,7,0.14646851214015394
C10L3/10,0.05555555555555556,0.04889157190436192,4.145137693766591e-06,0.004817294931871808,10,0.20027327170184314
B01D53/04,0.01440329218106996,0.0,1.9424167563062044e-07,0.0012487434661737741,7,0.14646851214015394
B01J20/22,0.02674897119341564,0.004103913000438392,1.9908694228655976e-07,0.005088096614843091,7,0.14748447869835155
B01J20/28,0.02880658436213992,0.0051518108410051906,1.9959915527310128e-07,0.0051662866352379,7,0.14765517832647462
B01D53/02,0.01440329218106996,0.0,1.9424167563062044e-07,0.0014659294448539193,7,0.14646851214015394
B01J20/30,0.02880658436213992,0.0051518108410051906,1.9959915527310128e-07,0.004973041674477862,7,0.14765517832647462
B01J20/02,0.01646090534979424,0.0021042806838912223,1.9449122812165177e-07,0.0012732152067848608,7,0.1466368667518093
B01J2/02,0.00617283950617284,0.0,2.1818110542528063e-08,0.0009956589065161156,3,0.11493159826493161
B01J2/06,0.00823045267489712,0.0,2.2643881714419642e-08,0.0007205900535430578,4,0.11503523361052669
B01J2/14,0.00823045267489712,0.0,2.2643881714419642e-08,0.0007205900535430578,4,0.11503523361052669
C07C29/154,0.01646090534979424,0.0,1.553271221937659e-06,0.0011705923465771535,8,0.1448059864631942
C07C7/12,0.00411522633744856,0.0,1.4557859861409816e-08,0.0004826036432087116,2,0.11482814948161484
C08L67/04,0.01234567901234568,0.004200076365024819,6.602805354931767e-25,0.0021794232902180026,4,0.05893694782583672
C09K8/68,0.06790123456790124,0.00680594192621684,3.9934572520376096e-24,0.008748934480156149,11,0.08262728959896716
C08J3/00,0.010288065843621401,0.0002630350854864028,6.595591485394783e-25,0.002535545580248885,4,0.055814460523805634
C08J3/12,0.010288065843621401,0.0002630350854864028,6.595591485394783e-25,0.002535545580248885,4,0.055814460523805634
E21B43/267,0.051440329218107,0.002984054255531917,3.558651968648194e-24,0.004472834174044969,11,0.07661803217358773
C07C5/327,0.03497942386831276,0.003679508676020258,4.607917890896081e-06,0.0053979538856238326,10,0.19358736581801836
C01B3/22,0.00411522633744856,0.0,2.938822948586158e-07,0.0004532914859410736,2,0.14081023628484998
B01F5/06,0.02263374485596708,0.0006303663169822543,3.450774576531347e-06,0.0012578553091477525,10,0.17216474234018095
C10G9/26,0.04938271604938272,0.008349879568834194,5.223079972458714e-06,0.005225236177482535,10,0.19329405162738497
C10G9/20,0.010288065843621401,0.00054832616395731,4.887900488568624e-07,0.0009985963911330724,3,0.1531501489484683
C10G9/00,0.04938271604938272,0.017053919899885535,4.529200925862369e-06,0.0034907573979118933,10,0.19778926213034742
C10G9/16,0.020576131687242802,0.0,3.440434435234877e-06,0.0010140877501152376,10,0.1719327143855446
C07C5/32,0.0617283950617284,0.008135674293923886,2.8973208819759436e-05,0.003572351877010515,12,0.21807534029756254
C07C11/02,0.020576131687242802,0.0,3.440434435234877e-06,0.0010140877501152376,10,0.1719327143855446
B01J8/04,0.04938271604938272,0.013928497684636004,1.0238481438458496e-05,0.004324459696432584,10,0.21262345679012348
B01J19/24,0.05349794238683128,0.006118578106769935,2.699789562194629e-05,0.004117845760768611,12,0.20811431333454175
B01J19/02,0.020576131687242802,0.0,3.4404344352348765e-06,0.0010140877501152376,10,0.1719327143855446
C07C11/24,0.020576131687242802,0.0,3.4404344352348765e-06,0.0010140877501152376,10,0.1719327143855446
C07C29/152,0.00205761316872428,0.0,2.8600737386168887e-82,0.0020678246484698098,1,0.00205761316872428
C07C31/04,0.00205761316872428,0.0,2.8600737386168887e-82,0.0020678246484698098,1,0.00205761316872428
C02F1/44,0.00617283950617284,0.0,1.1685526147333803e-21,0.0006962756933207913,3,0.023981836242372642
C02F1/52,0.03497942386831276,0.00019515506342539563,8.481476846917336e-21,0.0020496894328454,15,0.03974132863021752
B01D61/00,0.00617283950617284,0.0,1.1685526147333803e-21,0.0006962756933207913,3,0.023981836242372642
B01D9/00,0.03497942386831276,0.00019515506342539563,8.481476846917336e-21,0.002381948415180846,15,0.03974132863021752
